Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"999,150","505,143","494,007","61,981","46,520","62,692",Bye,"61,819","67,588","78,299","62,031","62,309","62,278","59,839","69,143","64,121","69,732","40,577","62,624","67,597"
Atlanta Falcons,"1,126,660","545,389","581,271","67,606","67,313","68,756",Bye,"69,732","68,082","81,521","70,088","67,982","73,239","78,491","67,029","69,560","68,930","76,866","68,887","62,578"
Baltimore Ravens,"1,074,077","568,660","505,417","71,099","66,882","70,950","68,756","71,161","63,689",Bye,"71,132","64,313","69,023","71,320","71,314","70,286","70,673","71,011","64,068","38,400"
Buffalo Bills,"1,080,744","542,465","538,279","68,756","70,318","70,261","65,523","70,526","76,048","73,497","69,790",Bye,"69,143","47,757","70,155","51,567","68,668","70,000","68,887","69,848"
Carolina Panthers,"1,162,625","586,314","576,311","73,599","67,313","90,588",Bye,"73,487","62,422","73,497","62,031","70,011","73,239","73,475","76,381","72,455","68,756","73,515","78,809","73,047"
Chicago Bears,"1,031,114","498,000","533,114","70,920","62,231","67,938","62,192",Bye,"68,082","64,900","62,262","62,309","69,732","62,421","63,854","61,892","62,214","71,011","62,479","56,677"
Cincinnati Bengals,"1,035,068","512,032","523,036","62,831","70,678","64,538","69,844","71,161","64,019","64,900",Bye,"64,313","65,392","34,112","64,553","62,545","63,854","68,889","64,333","79,106"
Cleveland Browns,"1,054,215","551,110","503,105","70,560","73,931","70,950","69,844","70,526","64,398","69,797","62,262",Bye,"69,023","43,170","64,553","67,978","69,009","53,315","67,964","66,935"
Dallas Cowboys,"1,307,231","718,055","589,176","63,806","105,121","90,588","76,440","71,214",Bye,"81,521","80,886","69,144","70,894","85,277","83,489","79,244","90,552","70,213","88,221","100,621"
Denver Broncos,"1,139,659","600,928","538,731","62,831","73,931","45,602","76,440","76,011","68,615",Bye,"71,132","76,716","85,247","74,707","74,896","68,912","67,248","74,502","69,144","73,725"
Detroit Lions,"931,681","395,162","536,519","69,719","56,269","40,896","62,192","59,333","70,801",Bye,"40,857","67,003","63,854","43,170","57,383","62,545","70,673","40,577","69,732","56,677"
Green Bay Packers,"1,067,183","565,666","501,517","70,920","70,678","60,234","63,846",Bye,"70,801","69,797","71,213","62,994","70,894","70,445","57,383","70,286","62,214","57,452","70,429","67,597"
Houston Texans,"1,049,850","564,864","484,986","70,118","69,143","70,083","70,291","61,819","64,019","70,820","69,790","66,033",Bye,"71,153","70,990","42,079","70,380","46,256","65,847","71,029"
Indianapolis Colts,"1,066,479","532,398","534,081","65,757","66,227","62,692","66,112","69,143",Bye,"60,108","66,229","66,033","67,476","71,320","70,990","66,321","67,248","63,753","67,222","69,848"
Jacksonville Jaguars,"951,161","397,214","553,947","65,757","46,520","70,083","49,014","67,228","42,088",Bye,"69,143","45,546","76,313","47,757","69,732","42,079","60,457","63,753","68,756","66,935"
Kansas City Chiefs,"1,049,533","540,114","509,419","71,099","69,169","69,144","69,238","71,214","79,572","69,337",Bye,"45,546","40,720","70,261","65,280","68,912","68,668","53,315","64,333","73,725"
Miami Dolphins,"1,094,695","540,342","554,353","67,606","66,227","67,230","65,523","69,767",Bye,"66,689","77,531","68,756","66,085","73,475","70,155","70,102","60,457","69,143","65,847","70,102"
Minnesota Vikings,"1,034,123","510,203","523,920","70,560","56,269","63,398","63,846","60,166","63,689","65,597","71,213",Bye,"63,854","63,854","63,854","64,121","63,854","73,515","62,479","63,854"
New England Patriots,"1,138,000","550,048","587,952","68,756","78,312","68,756","68,756","76,011","68,756","84,254",Bye,"68,756","67,476","68,756","70,768","70,102","68,756","70,000","68,756","71,029"
New Orleans Saints,"1,116,009","560,840","555,169","69,719","69,144","70,261","70,009",Bye,"70,011","66,689","70,088","70,011","59,858","62,720","70,768","84,520","68,930","70,213","70,021","73,047"
