Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
New York Giants,"1,223,927","629,615","594,312","78,206","105,121","63,689","69,238","79,012","70,011","78,299","69,144","78,774",Bye,"78,491","74,896","79,244","78,780","78,359","78,809","63,854"
New York Jets,"1,115,944","616,420","499,524","70,118","78,312","75,863","70,009","69,767","76,048","39,354","77,531",Bye,"76,313","68,756","76,381","51,567","62,731","76,866","67,222","79,106"
Oakland Raiders,"927,539","354,276","573,263","61,940","69,169","45,602","70,291","79,012","49,642","39,354","67,016",Bye,"40,720","34,112","83,489","61,820","44,506","74,502","67,964","38,400"
Philadelphia Eagles,"1,144,895","553,152","591,743","73,599","69,144","69,144",Bye,"69,144","49,642","88,241","69,144","69,144","68,879","62,421","69,144","69,560","78,780","69,144","69,144","100,621"
Pittsburgh Steelers,"1,051,386","507,882","543,504","65,110","62,231","64,538","64,045","59,333","64,398","65,597",Bye,"76,716","65,392","70,261","71,314","61,820","69,009","57,452","64,068","70,102"
San Diego Chargers,"1,116,821","540,345","576,476","61,940","66,882","67,230","64,045",Bye,"68,615","69,337","67,016","78,774","68,879","74,707","65,280","67,978","90,552","68,889","69,143","67,554"
San Francisco 49ers,"1,075,599","557,856","517,743","61,981","69,732","63,398","69,732","69,732",Bye,"70,820","66,229","69,732","69,732","70,445","69,732","67,761","69,732","69,144","69,732","47,965"
Seattle Seahawks,"1,070,287","539,141","531,146","67,610","69,732","67,938","66,112","67,228","67,588",Bye,"80,886","67,003","62,278","63,854","47,475","67,761","70,380","67,011","70,429","67,002"
St. Louis Rams,"943,627","441,901","501,726","67,610","87,780","60,234","69,732","60,166","42,088","60,108","40,857",Bye,"59,858","59,839","47,475","61,892","69,143","46,256","62,624","47,965"
Tampa Bay Buccaneers,"1,093,669","525,194","568,475","63,806","70,318","63,689","86,412","69,144","62,422","84,254",Bye,"62,994","66,085","62,720","67,029","72,455","62,731","67,011","70,021","62,578"
Tennessee Titans,"1,086,095","553,144","532,951","65,110","69,143","75,863","49,014","69,143","68,756",Bye,"69,143","69,732","69,143","71,153","69,143","66,321","69,143","69,143","69,143","67,002"
Washington Redskins,"1,205,404","678,352","527,052","78,206","87,780","40,896","86,412","73,487","79,572","88,241",Bye,"67,982","85,247","85,277","69,144","84,520","44,506","78,359","88,221","67,554"
,"17,282,225",,,"1,089,618","1,128,770","1,051,862","951,454","967,743","915,731","912,414","877,322","869,313","1,008,133","1,037,758","1,091,586","1,061,163","1,085,633","1,050,006","1,107,679","1,076,040"
