Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"893,926","387,475","506,451","77,434","66,009",Bye,"71,801","66,985","44,296","38,293","62,981","35,286","52,244","64,223","65,356","42,094","50,289","53,472","37,452","65,711"
Atlanta Falcons,"964,579","422,814","541,765","54,626","75,466","73,025","58,761","65,424","50,947","66,019","56,508","46,178","70,097","74,309","67,447","55,175","44,680",Bye,"64,900","41,017"
Baltimore Ravens,"1,062,373","551,695","510,678","55,049","68,843","73,464","68,481","73,018","65,194","83,252","69,200","69,405","54,759","68,490","69,416","68,361",Bye,"68,805","37,452","69,184"
Buffalo Bills,"1,098,587","560,695","537,892","72,492","77,722","77,884",Bye,"72,617","73,901","72,351","64,116","72,861","60,292","72,420","78,457","65,546","73,002","56,671","47,230","61,025"
Carolina Panthers,"1,095,192","583,489","511,703","80,257","66,879","73,025",Bye,"73,310","72,192","50,015","73,169","46,178","66,048","72,981","64,208","73,295","73,358","77,481","72,159","60,637"
Chicago Bears,"1,080,684","535,552","545,132","64,104","65,569","66,944","66,944","59,869","66,944","66,944","65,553",Bye,"66,944","72,420","66,944","77,354","66,944","66,944","68,306","71,957"
Cincinnati Bengals,"967,434","469,992","497,442",Bye,"64,006","45,653","68,481","61,535","63,406","54,328","61,603","73,118","54,759","62,170","60,292","63,925","50,289","68,498","50,469","64,902"
Cleveland Browns,"1,057,139","581,544","475,595","72,418","64,006","73,018","45,702","73,018","44,296","75,811","57,659","73,118","72,718","72,618","68,498","68,361","51,262","72,318","72,318",Bye
Dallas Cowboys,"1,075,470","504,360","571,110","62,872","66,009","84,431","64,127","73,310",Bye,"78,189","62,981","63,554","65,636","62,170","69,416","63,878","65,621","63,467","61,311","68,498"
Denver Broncos,"1,140,030","604,042","535,988","65,956","75,466","62,078","74,596","75,684","56,079","75,811","61,603",Bye,"78,305","75,951","75,218","68,661","64,900","75,218","78,406","76,098"
Detroit Lions,"1,140,926","607,076","533,850","64,900","74,159","76,928","66,944","76,438","77,549",Bye,"65,557","56,971","77,813","74,309","77,897","77,923","64,214","59,854","77,513","71,957"
Green Bay Packers,"1,049,602","478,747","570,855","59,870","77,722","59,869","71,801","59,869","77,549","59,870",Bye,"73,740","59,854","65,621","59,869","73,295","66,944","59,854","64,183","59,692"
Indianapolis Colts,"1,008,013","454,319","553,694","78,357","56,769",Bye,"56,816","72,617","60,292","63,593","56,828","56,971","66,944","56,657","59,869","56,935","78,138","56,671","73,884","56,672"
Jacksonville Jaguars,"991,957","482,510","509,447","72,418","68,843","45,653","56,816","64,351","65,194","68,498","69,061","63,554",Bye,"68,063","50,925","65,454","51,262","53,472","50,469","77,924"
Kansas City Chiefs,"1,115,272","631,365","483,907","78,357","68,203","77,604","74,596","82,893",Bye,"79,025","79,142","62,141","62,428","68,002","78,457","47,228","60,292","77,481","78,406","41,017"
Miami Dolphins,"1,118,883","589,909","528,974","72,949","64,112","73,464","73,344","61,535","73,901",Bye,"78,389","73,740","77,813","56,896","74,320","56,935","73,002","74,307","73,884","60,292"
Minnesota Vikings,"1,029,262","513,322","515,940","64,104","64,112","60,292",Bye,"76,438","64,162","66,944","64,116","65,589","59,854","64,223","64,208","63,878","64,214","66,273","64,183","56,672"
New England Patriots,"1,030,594","482,336","548,258","60,292","77,687","60,292","73,344","75,684","60,292","60,292","56,828",Bye,"60,292","72,618","60,292","77,923","60,292","66,944","47,230","60,292"
New Orleans Saints,"980,803","504,315","476,488","64,900","51,300","59,513","64,900",Bye,"66,944","50,015","56,508","35,286","64,900","72,981","64,900","66,064","64,900","67,892","64,900","64,900"
New York Giants,"1,135,455","624,085","511,370","77,434","65,530","66,944","78,216","68,341","50,947","78,189",Bye,"78,087","72,718","78,174","77,897","42,094","83,485","78,164","61,311","77,924"
New York Jets,"1,145,146","623,711","521,435","59,870","77,687","77,884","65,619",Bye,"78,441","60,292","78,389","72,861","78,305","56,657","74,320","77,354","78,138","62,632","77,513","69,184"
Oakland Raiders,"998,655","462,515","536,140","56,373","56,769","62,078","45,702",Bye,"68,344","79,025","57,490","66,659","62,428","75,951","64,900","55,175","55,811","62,632","68,681","60,637"
Philadelphia Eagles,"1,039,856","523,531","516,325","62,872","65,530","59,869","64,900","65,424","65,491","38,293","65,553","78,087","65,636","56,702","65,356","83,284","65,639","72,318",Bye,"64,902"
Pittsburgh Steelers,"987,037","440,426","546,611","55,049",Bye,"73,018","51,769","64,351","78,441","54,328","57,659","69,405","68,498","56,702","50,925","63,925","55,811","78,164","58,183","50,809"
San Diego Chargers,"981,863","433,459","548,404","56,373","51,300","77,604","47,233","66,010","56,079","72,351",Bye,"66,659","59,884","56,896","75,218","47,228","57,255","68,805","72,159","50,809"
San Francisco 49ers,"1,057,954","541,964","515,990","54,626","66,879","65,945","64,127","66,985","68,344","59,870","73,169","68,109","64,900","68,002","67,447",Bye,"57,255","67,892","68,306","76,098"
Seattle Seahawks,"1,029,085","508,367","520,718","72,949","64,869","59,513","47,233","82,893","72,192","63,593","57,490","62,141","59,884","68,063",Bye,"68,661","44,680","75,218","68,681","61,025"
St. Louis Rams,"1,081,368","528,402","552,966","65,956","64,869","65,945","58,761","66,010",Bye,"66,019","79,142","68,109","66,048","78,174","66,087","66,064","73,358","66,273","65,653","64,900"
Tampa Bay Buccaneers,"1,080,729","524,775","555,954","60,292","65,569","76,928","65,619","83,532","64,162",Bye,"65,557","65,589","70,097","65,621","66,944","65,546","65,621","74,307","65,653","59,692"
Tennessee Titans,"1,091,274","547,524","543,750","72,492","68,203",Bye,"51,769","68,341","63,406","68,498","69,200","83,472","68,498","68,490","68,498","65,454","65,639","68,498","72,318","68,498"
Washington Redskins,"1,174,332","647,424","526,908","80,257","74,159","84,431","78,216","83,532","65,491","83,252","69,061","83,472","52,244",Bye,"66,087","83,284","83,485","63,467","58,183","65,711"
,"16,351,740",,,"997,949","1,007,123","956,648","888,309","990,007","907,238","916,480","917,256","915,170","980,420","1,013,277","1,009,834","975,177","954,890","1,011,996","960,648","949,318"
