Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Indianapolis Colts,"1,028,634","457,154","571,480","78,622","56,614","57,041","77,190","57,021",Bye,"57,274","76,767","68,756","57,306","63,706","57,296","69,143","67,164","57,292","70,132","57,310"
Jacksonville Jaguars,"1,104,052","534,866","569,186","67,164","67,164","57,041","89,450","66,604",Bye,"70,035","69,249","66,524","65,918","67,164","63,608","73,160","67,164","69,143","67,164","77,500"
Kansas City Chiefs,"1,167,512","623,275","544,237","77,956","76,786",Bye,"77,609","63,445","64,727","77,752","77,645","66,191","73,132","78,097","79,484","71,927","77,232","66,583","61,446","77,500"
Miami Dolphins,"1,119,255","585,973","533,282","64,927","72,797","72,733","70,071","68,756","77,439","73,548",Bye,"62,206","73,132","73,070","61,562","73,160","74,033","71,011","73,500","57,310"
Minnesota Vikings,"1,075,545","509,743","565,802","90,608","63,623","63,754","71,972","63,906",Bye,"68,118","63,819","68,088","63,924","73,070","63,483","62,221","60,861","63,677","70,864","63,557"
New England Patriots,"1,110,770","550,048","560,722","68,756","77,595","68,756","66,035","68,756",Bye,"72,180","63,819","68,756","68,756","70,753","68,756","68,756","74,033","68,756","67,164","69,143"
New Orleans Saints,"1,108,045","550,470","557,575","72,915","70,602","70,003","73,392","68,183","68,269",Bye,"69,152","65,561","61,911","68,001","70,933","68,241","63,722","69,052","78,539","69,569"
New York Giants,"1,196,814","628,910","567,904","78,622","69,241","68,161",Bye,"78,653","70,840","63,512","78,647","78,485","78,641","67,164","69,143","78,666","73,702","78,657","78,539","86,141"
New York Jets,"1,175,356","618,575","556,781","69,143","77,595","72,067","77,190","66,604","77,439","76,953","72,507",Bye,"68,756","77,632","76,596","70,527","77,131","63,677","73,500","78,039"
Oakland Raiders,"1,039,706","467,964","571,742","62,578","70,744",Bye,"61,426","68,368","76,691","61,595","62,385","67,816","62,094","78,097","66,105","46,276","65,882","50,164","61,446","78,039"
Philadelphia Eagles,"1,109,173","553,794","555,379","70,180","69,241","68,166","69,222","69,268","68,269","65,808","69,249",Bye,"69,143","69,232","57,296","69,098","84,164","78,657","62,839","69,341"
Pittsburgh Steelers,"1,052,087","499,461","552,626","64,927","67,164","64,922",Bye,"67,837","64,727","71,151","62,385","64,661","61,911","73,296","70,946","59,843","55,246","73,798","63,224","66,049"
San Diego Chargers,"1,084,416","531,031","553,385","62,578","64,344",Bye,"70,743","67,837","68,137","77,752","66,598","65,558","65,917","76,723","66,105","63,361","67,514","66,583","68,174","66,492"
San Francisco 49ers,"1,086,093","545,207","540,886","63,407","67,791","68,166","77,609","68,368","68,137",Bye,"62,200","68,088","60,707","68,367","65,517","68,241","68,539","67,650","67,751","75,555"
Seattle Seahawks,"1,083,593","543,820","539,773","60,535","67,470","68,161","62,225",Bye,"65,592","68,118","77,645","67,816","68,175","68,367","68,256","76,146","63,603","67,650","68,174","65,660"
St. Louis Rams,"1,046,325","522,610","523,715","65,577","67,791","63,278","65,563","70,804","65,592",Bye,"66,598","66,191","68,175","73,348","65,517","65,612","66,234","50,164","62,324","63,557"
Tampa Bay Buccaneers,"1,070,781","524,661","546,120","65,087","70,828","65,423",Bye,"68,183","65,732","65,808","78,647","65,561","73,573","65,699","63,183","59,843","65,691","62,260","69,603","65,660"
Tennessee Titans,"1,097,073","553,144","543,929","69,143","64,344","72,733","69,143","57,021","88,550",Bye,"69,143","66,524","69,143","69,232","69,143","69,143","70,760","69,143","54,765","69,143"
Washington Redskins,"1,236,415","701,049","535,366","90,608","63,152","70,069","89,450","78,653","88,550","57,274",Bye,"90,250","69,143","65,699","85,450","86,436","84,164","69,052","62,324","86,141"
,"17,606,051",,,"1,121,895","1,087,004","937,942","993,022","954,926","904,606","896,914","978,581","968,080","1,073,059","1,129,351","1,103,244","1,095,386","1,101,478","1,074,319","1,075,583","1,110,661"
