Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"1,041,022","508,829","532,193","63,407","67,470","63,278","68,981","63,445","63,977","61,595","70,809",Bye,"63,926","63,348","63,483","65,612","63,603","63,845","67,751","66,492"
Atlanta Falcons,"1,126,210","563,462","562,748","73,522","70,828","70,003","68,981",Bye,"70,840","71,151","65,978","60,987","70,793","70,790","70,933","86,436","65,691","71,102","68,834","69,341"
Baltimore Ravens,"1,125,187","566,547","558,640","65,087","70,744","72,474","70,743","76,355","70,762",Bye,"69,152","70,792","69,143","70,790","70,946","65,973","77,232","70,857","63,224","70,913"
Buffalo Bills,"1,081,107","541,169","539,938","68,756","72,797","72,067","71,972","62,206","60,704","72,180",Bye,"72,205","57,306","70,125","63,608","63,361","77,131","71,011","54,765","70,913"
Carolina Panthers,"1,147,260","588,537","558,723","73,522","63,623","65,423","73,392","73,520","70,762","65,964","73,682",Bye,"73,573","73,348","85,450","69,098","73,702","73,798","68,834","69,569"
Chicago Bears,"1,048,363","497,786","550,577","70,918","62,181","63,754","62,225","62,206","63,977",Bye,"62,200","62,206","78,641","77,632","68,756","62,221","66,234","62,260","60,665","62,287"
Cincinnati Bengals,"1,081,250","527,870","553,380","77,956","66,072","64,922","66,035",Bye,"65,732","65,964","65,978","70,792","65,917","68,001","72,926","65,973","65,882","57,292","75,759","66,049"
Cleveland Browns,"1,112,241","578,672","533,569","72,915","66,072","72,474","61,426","73,520",Bye,"73,024","72,507","65,558","70,793","73,296","72,926","71,927","55,246","70,857","69,603","70,097"
Dallas Cowboys,"1,089,509","506,308","583,201","67,164","63,152",Bye,"69,143","69,268","63,186","63,512","73,682","90,250","63,926","63,706","63,183","78,666","63,722","71,102","62,839","63,008"
Denver Broncos,"1,155,737","610,782","544,955","65,577","76,786","68,756",Bye,"76,355","76,691","73,024","76,767","64,661","62,094","76,723","79,484","76,146","67,514","63,845","75,759","75,555"
Detroit Lions,"1,021,303","487,116","534,187","60,535","62,181","61,095","65,563","63,906","60,704","76,953",Bye,"60,987","60,707","63,348","61,562","68,756","60,861","70,472","60,665","63,008"
Green Bay Packers,"1,104,825","565,749","539,076","70,918","70,602","61,095","69,222","70,804",Bye,"73,548","70,809","72,205","63,924","70,753","68,256","70,527","68,539","70,472","70,864","62,287"
Houston Texans,"1,086,443","561,469","524,974","70,180","56,614","70,069","70,071",Bye,"63,186","70,035","69,143","78,485","65,918","70,125","76,596","46,276","70,760","68,756","70,132","70,097"
