Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"1,087,072","512,775","574,297","67,186","63,445","90,060","78,222","63,830","64,389",Bye,"72,010","61,303","64,519","67,616","64,541","69,144","63,720","64,457","68,756","63,874"
Atlanta Falcons,"1,040,162","502,813","537,349","62,310","63,611","62,434","72,688","70,610","64,096",Bye,"69,144","61,196","64,826","54,644","64,841","67,200","70,011","65,045","62,889","64,617"
Baltimore Ravens,"1,115,465","570,152","545,313","70,978",Bye,"71,104","64,038","71,131","66,153","64,972","71,254","73,078","70,552","78,849","71,379","63,871","71,438","71,502","63,800","71,366"
Buffalo Bills,"1,102,421","551,969","550,452","71,194","65,167","71,297","61,017","63,830",Bye,"71,602","65,011","71,827","68,756","71,645","73,584","70,988","52,134","78,548","74,539","71,282"
Carolina Panthers,"1,111,316","585,684","525,632","67,115","73,828","62,628","72,688","72,319","64,211","73,687","72,010",Bye,"47,888","73,349","64,841","70,297","74,113","73,690","78,653","69,999"
Chicago Bears,"1,028,406","496,276","532,130","66,822","73,828","62,051","62,099","59,790","64,096","62,235",Bye,"62,188","62,124","71,040","61,994","63,722","61,736","61,692","62,151","70,838"
Cincinnati Bengals,"1,076,462","516,663","559,799","70,978","64,540","79,276","65,541","62,655","78,161","65,860","70,112","64,238",Bye,"64,633","59,854","63,871","66,402","63,996","72,361","63,984"
Cleveland Browns,"1,147,622","582,230","565,392","73,012","73,048","71,104","65,541",Bye,"73,102","90,487","64,775","73,078","73,141","71,645","72,077","72,411","69,143","69,144","72,361","63,553"
Dallas Cowboys,"1,076,887","506,944","569,943","73,012","63,472","71,113","63,462","62,655","64,389","62,035","63,254","78,826",Bye,"90,830","63,272","63,253","60,594","63,776","63,800","69,144"
Denver Broncos,"1,159,630","604,074","555,556","62,762","75,915","75,713","74,623","75,480","75,674","68,756",Bye,"75,499","73,141","54,644","76,067","78,809","75,187","73,690","74,539","69,131"
Detroit Lions,"970,445","435,979","534,466","62,310","60,285","67,249",Bye,"59,790","62,867","70,081","54,312","62,188","52,631","73,349","49,096","60,112","50,444","66,281","49,309","70,141"
Green Bay Packers,"1,089,433","565,460","523,973","71,004","60,285","71,113","64,122","70,610","68,302","71,010",Bye,"69,143","63,845","71,040","70,668","70,297","70,245","65,457","62,151","70,141"
Houston Texans,"1,075,618","563,364","512,254","64,001",Bye,"69,143","64,061","70,118","70,023","70,081","70,112","62,839","70,552","66,201","72,077","70,809","70,245","70,831","43,687","70,838"
Indianapolis Colts,"1,075,412","531,026","544,386","66,822","63,585","65,938",Bye,"70,118","66,153","71,010","69,143","66,508","64,043","66,201","68,428","72,411","66,402","66,281","65,648","66,721"
Jacksonville Jaguars,"1,052,873","521,338","531,535","69,143","65,167","65,938","64,061","65,908","75,674",Bye,"64,775","64,238","52,631","65,258","65,064","70,809","61,736","65,457","65,648","71,366"
Kansas City Chiefs,"1,142,228","592,622","549,606","68,756","74,480","62,434","74,623","72,319",Bye,"74,200","78,037","74,045","67,510","74,159","73,584","61,379","75,187","73,842","73,689","63,984"
Miami Dolphins,"1,067,965","523,919","544,046","65,859","63,445","68,756",Bye,"65,063","70,023","64,972","65,011","75,499","64,862","65,113","67,146","61,046","52,134","65,893","73,689","79,454"
