Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Minnesota Vikings,"1,023,776","506,136","517,640","71,004","63,585","62,628","69,143","70,015","62,867","62,235",Bye,"62,839","63,845","65,278","65,064","63,722","50,444","64,457","62,889","63,761"
New England Patriots,"1,100,148","550,048","550,100","68,756","78,554","68,756",Bye,"67,650","68,704","68,756","68,756","66,508","68,756","68,756","67,146","68,756","68,077","62,179","68,756","71,282"
New Orleans Saints,"1,125,938","573,876","552,062","69,881","88,246","75,713","70,008","70,015","70,068","73,687","83,226",Bye,"64,826","74,159","70,668","64,430","70,011","61,692","49,309","69,999"
New York Giants,"1,179,158","632,554","546,604","79,742","61,377","79,276",Bye,"79,529","73,102","78,676","64,991","78,826","69,144","78,849","64,541","85,912","79,003","63,776","78,653","63,761"
New York Jets,"1,170,229","627,858","542,371","65,859","78,554","68,922","78,222",Bye,"78,161","61,901","78,037","71,827","78,073","68,756","69,143","78,809","67,782","78,548","68,181","79,454"
Oakland Raiders,"1,024,023","462,800","561,223","62,762","74,480","71,297","61,808",Bye,"70,068","61,901","71,254","61,196","47,888","65,113","76,067","61,379","68,097","62,179","43,687","64,847"
Philadelphia Eagles,"1,111,845","553,152","558,693","69,144","63,472","69,144","62,099","69,144","67,640",Bye,"69,144","68,055","69,144","64,633","71,379","69,144","79,003","69,144","82,412","69,144"
Pittsburgh Steelers,"1,076,998","503,125","573,873","64,001","73,048","69,144","64,038","65,908",Bye,"65,860","64,991","90,512","64,043","62,051","59,854","68,756","60,594","71,502","69,143","63,553"
San Diego Chargers,"1,103,392","545,107","558,285","67,115","75,915","68,922","61,808","65,063","68,704","71,602","83,226",Bye,"67,510","62,051","68,428","67,200","68,097","73,842","64,778","69,131"
San Francisco 49ers,"1,076,358","540,103","536,255","67,186","67,951","67,249","70,008","67,650","67,640","78,676","67,504",Bye,"64,519","67,573","63,272","70,988","67,782","65,893","54,948","67,519"
Seattle Seahawks,"1,075,115","543,965","531,150","71,194","67,951","68,012",Bye,"79,529","68,302","64,811","67,504","68,055","64,862","67,616","67,771","63,253","68,077","56,123","68,181","63,874"
St. Louis Rams,"1,050,114","479,843","570,271","69,144","61,377","68,012","61,017",Bye,"90,376","62,035","68,756","61,303","78,073","67,573","61,994","61,046","63,720","56,123","54,948","64,617"
Tampa Bay Buccaneers,"1,049,053","516,088","532,965","69,881","63,611","62,051","64,122","75,480","64,211","64,811","63,254","74,045",Bye,"65,278","49,096","64,430","74,113","65,045","64,778","64,847"
Tennessee Titans,"1,088,061","553,144","534,917","69,143","64,540","69,143","69,143","71,131",Bye,"74,200","69,143","69,143","62,124","65,258","69,143","60,112","69,143","70,831","69,143","66,721"
Washington Redskins,"1,246,219","708,835","537,384","79,742","88,246","90,060","63,462","69,144","90,376","90,487","54,312","90,512",Bye,"90,830","67,771","85,912","71,438","63,996","82,412","67,519"
,"17,459,922",,,"1,098,909","1,037,504","1,122,840","870,832","963,242","983,766","980,313","961,529","979,257","911,914","1,106,995","1,064,925","1,092,139","1,068,126","1,072,456","1,054,944","1,090,231"
