Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Kansas City Chiefs,"1,166,177","625,503","540,674","72,938","77,934","68,436","78,178","78,149","58,995","78,446","78,685",Bye,"67,881","77,951","56,250","77,809","78,601","75,947","77,899","62,078"
Miami Dolphins,"1,144,504","585,523","558,981","72,216","56,650","73,426","78,178","73,369","75,941","73,180",Bye,"63,284","78,920","73,013","73,138","73,287","73,609","73,572","64,285","68,436"
Minnesota Vikings,"1,045,728","512,517","533,211","63,226","64,047","63,945","65,212",Bye,"64,013","78,516","64,122","65,667","64,005","64,153","68,436","63,947","64,070","67,851","64,285","60,233"
New England Patriots,"1,096,069","547,488","548,581","68,436","78,726","68,436","66,463","73,369","68,436",Bye,"68,436","73,448","63,105","62,552","68,436","62,109","68,436","68,809","68,436","68,436"
New Orleans Saints,"1,068,183","542,796","525,387","65,554","67,958","63,216","60,023","67,734","80,768","67,903","67,883",Bye,"72,566","70,382","68,295","68,226","69,334","67,851","43,544","66,946"
New York Giants,"1,123,668","629,211","494,457","78,748","65,932","78,551","30,014","63,447","78,728",Bye,"65,791","78,337","64,005","78,727","70,054","78,640","78,635","78,698","56,579","78,782"
New York Jets,"1,145,070","628,812","516,258","72,751","78,726","73,426","55,670","78,149",Bye,"78,516","78,502","59,772","78,920","61,720","78,745","62,257","78,521","62,226","68,436","78,733"
Oakland Raiders,"1,042,142","485,092","557,050","53,260","62,260",Bye,"58,719","73,038","66,070","60,974","78,685","62,660","76,643","62,552","58,814","62,257","67,968","73,572","62,592","62,078"
Philadelphia Eagles,"1,066,147","523,535","542,612","68,804","84,982","65,537","64,867","65,005",Bye,"65,523","65,791","54,049","65,660","64,990","67,919","65,552","59,862","65,615","63,209","78,782"
Pittsburgh Steelers,"1,023,448","490,274","533,174","68,436","62,260",Bye,"62,864","67,734","63,900","62,800","69,638","73,718","62,779","68,804","60,473","55,260","58,551","58,586","65,684","61,961"
San Diego Chargers,"992,665","494,973","497,692","53,705","56,098","28,980","66,463","75,065","58,995","60,974",Bye,"59,772","66,093","67,161","73,138","66,357","67,968","61,838","77,899","52,159"
San Francisco 49ers,"1,058,751","541,593","517,158","78,748","67,685","67,541",Bye,"67,853","66,420","67,903","67,173","62,660","67,881","67,161","67,919","67,594","64,097","67,947","44,051","66,118"
Seattle Seahawks,"984,773","504,621","480,152","53,260","63,104","78,551","65,212",Bye,"66,420","65,931","63,854","64,325","29,252","65,495","56,250","67,594","59,862","69,551","63,953","52,159"
St. Louis Rams,"1,073,461","528,498","544,963","75,710","65,932","65,652","66,165","67,853","66,070","65,931",Bye,"47,819","66,093","66,250","79,823","65,552","78,601","65,939","63,953","66,118"
Tampa Bay Buccaneers,"1,044,920","525,031","519,889","65,554","69,304","65,652","57,234","68,936","65,627","65,523","72,892","65,667",Bye,"65,527","65,672","68,226","65,648","61,942","65,684","55,832"
Tennessee Titans,"1,050,989","550,437","500,552","68,804","62,527","68,804","58,719","68,804","68,804",Bye,"52,822","56,752","68,804","68,804","69,365","78,640","68,804","68,809","51,033","70,694"
Washington Redskins,"1,182,596","643,950","538,646","85,140","84,982","67,541",Bye,"68,804","80,768","63,363","80,169","64,325","66,665","78,727","79,823","63,606","78,635","65,615","70,291","84,142"
,"16,979,371",,,"1,090,200","1,090,597","918,285","871,056","967,170","945,769","947,236","956,398","899,979","914,710","1,077,553","1,089,171","1,043,256","1,037,842","1,063,819","1,006,919","1,059,411"
