Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"898,877","327,272","571,605","85,140","63,104","28,980","30,014","72,286",Bye,"59,702","67,173","47,819","29,252","64,990","58,814","77,809","28,640","65,939","44,051","75,164"
Atlanta Falcons,"1,099,147","550,974","548,173","63,127","68,081","68,129",Bye,"68,936","78,728","68,056","67,883","68,532","62,779","70,382","72,533","63,947","65,648","69,551","69,307","73,528"
Baltimore Ravens,"1,073,464","554,724","518,740","70,386","69,304",Bye,"69,538","73,688","56,174","69,173","69,638","68,532","69,024","73,013","69,365","44,878","69,334","70,108","69,348","61,961"
Buffalo Bills,"1,119,646","547,702","571,944","72,751","64,047","75,359","72,780","73,038","70,120","73,180","72,710","73,448",Bye,"77,951","78,745","73,287","68,436","61,838","64,106","47,850"
Carolina Panthers,"1,092,895","572,015","520,880","70,386","71,951","63,945","63,329","72,286","61,773","68,056","72,892",Bye,"72,566","65,527","72,533","72,718","66,799","58,586","72,602","66,946"
Chicago Bears,"1,029,316","487,255","542,061","63,226","68,081","63,216","72,780","63,226",Bye,"60,421","64,122","54,049","63,105","66,250","62,375","64,196","73,609","62,226","72,602","55,832"
Cincinnati Bengals,"934,265","422,235","512,030","53,705","73,358","68,129","57,234","56,570","63,900",Bye,"52,822","69,827","69,024","64,060","60,473","44,878","66,799","42,092","43,544","47,850"
Cleveland Browns,"1,110,061","586,294","523,767","72,938","73,358","68,804","62,864","73,688","65,627","73,248","78,502","73,718",Bye,"64,060","68,295","72,718","46,267","73,098","69,348","73,528"
Dallas Cowboys,"1,047,411","504,717","542,694","69,604","62,527","65,537","66,165","63,447","61,773","59,702","63,854","61,789",Bye,"57,057","62,204","63,606","64,097","78,698","63,209","84,142"
Denver Broncos,"1,161,974","604,904","557,070","75,710","67,685","75,359","69,538","75,065","75,941","78,446","68,436",Bye,"76,643","65,495","75,075","66,357","78,521","75,947","62,592","75,164"
Detroit Lions,"994,267","489,742","504,525","72,216","71,951","61,505","60,023",Bye,"64,013","60,421","72,710","61,789","63,313","61,720","62,375","62,109","28,640","61,942","69,307","60,233"
Green Bay Packers,"1,046,418","508,788","537,630","63,127","67,958","61,505","63,329","63,226","68,436","63,363",Bye,"63,284","63,313","64,153","65,672","64,196","64,070","67,947","64,106","78,733"
Houston Texans,"1,061,722","559,322","502,400","69,604","56,098","69,204","64,867",Bye,"70,120","73,248","53,721","69,827","68,804","69,711","70,054","56,820","58,551","70,108","70,291","70,694"
Indianapolis Colts,"1,004,762","453,357","551,405","56,595","56,650","69,204",Bye,"56,570","56,174","62,800","80,169","56,752","65,660","57,057","75,075","56,820","68,804","73,098","56,579","56,755"
Jacksonville Jaguars,"975,226","450,216","525,010","56,595","77,934",Bye,"55,670","65,005","68,804","69,173","53,721","78,337","66,665","69,711","62,204","55,260","46,267","42,092","51,033","56,755"
