Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Miami Dolphins,"1,119,236","587,756","531,480","68,798","73,404","66,046","72,713","78,823",Bye,"59,108","72,597","57,127","74,259","73,063","73,938","73,858","68,223","60,292","73,559","73,428"
Minnesota Vikings,"1,045,690","513,344","532,346","64,108","66,944","64,105","70,020","64,048","64,165","65,558",Bye,"65,638","64,283","64,214","62,661","64,271","72,190","64,150","59,870","69,465"
New England Patriots,"977,717","482,336","495,381","51,521","60,292","60,292","72,713","60,292","56,022","74,750","44,229","60,292","60,292","60,292","78,712","60,292","45,527","60,292",Bye,"71,907"
New Orleans Saints,"1,111,335","560,472","550,863","71,447",Bye,"78,451","70,020","72,049","70,020","66,189","70,020","68,083","70,020","60,292","70,020","68,826","70,332","65,526","70,020","70,020"
New York Giants,"1,156,600","627,985","528,615","75,735","77,666","78,451","78,651","65,992","78,821","80,316","78,673","36,917","64,283","78,756",Bye,"61,821","77,913","78,119","65,885","78,601"
New York Jets,"1,158,872","627,808","531,064","78,606","60,292","78,722","72,654","78,823","78,766","72,642","70,020","78,234","74,259",Bye,"78,712","62,884","77,745","56,302","78,200","62,011"
Oakland Raiders,"1,035,571","472,091","563,480","78,844","73,404","54,629","61,535","56,972",Bye,"65,342","62,637","67,231","61,960","78,756","46,601","60,784","67,349","61,934","75,582","62,011"
Philadelphia Eagles,"1,061,162","527,193","533,969","66,243","62,826","66,621","66,360",Bye,"78,821","65,342","33,430","65,638","63,204","65,666","77,087","65,438","84,936","68,124","65,885","65,541"
Pittsburgh Steelers,"1,055,127","499,191","555,936","63,785",Bye,"72,874","62,335","78,413","65,588","63,763","62,906","73,218","62,644","68,801","62,661","62,884","69,506","62,809","63,751","59,189"
San Diego Chargers,"1,005,530","474,844","530,686","60,629","63,430","56,048","73,018","60,292","67,521","63,698","58,789","74,951","61,960","49,398","55,466","65,438","67,349","76,131","51,412",Bye
San Francisco 49ers,"1,061,811","539,756","522,055","65,989","67,536","78,722","66,944","46,727",Bye,"66,944","67,605","68,083","72,665","56,393","67,252","66,218","68,223","68,124","64,366","70,020"
Seattle Seahawks,"1,034,365","482,818","551,547","72,318","62,826","54,629","54,524","61,837",Bye,"59,108","82,352","67,231","60,836","77,357","55,466","74,524","63,366","78,119","51,412","58,460"
St. Louis Rams,"1,081,519","528,829","552,690","66,243","67,536","66,046","77,765","65,992","78,766","66,189",Bye,"66,069","60,292","66,198","59,318","66,218","70,332","72,438","66,084","66,033"
Tampa Bay Buccaneers,"1,038,298","524,468","513,830","61,521",Bye,"64,105","65,510","68,798","65,588","65,558","59,861","74,268","65,612","66,198","52,135","65,514","66,944","65,526","65,619","65,541"
Tennessee Titans,"1,089,472","550,393","539,079","68,798","65,994",Bye,"69,494","68,798","76,940","63,763","68,798","68,798","63,865","68,801","72,818","64,271","68,804","61,934","68,798","68,798"
Washington Redskins,"1,137,730","624,374","513,356","60,629","59,771","76,573","78,651","63,941","74,480","80,316","82,352",Bye,"74,622","65,666","85,112","40,056","84,936","78,884","70,020","61,721"
,"16,306,889",,,"1,008,432","877,004","909,316","1,013,043","908,919","863,358","954,418","892,627","983,941","955,786","1,000,654","1,004,354","913,824","1,039,034","965,723","1,010,634","1,005,822"
