Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"811,391","307,315","504,076",Bye,"50,913","28,878","66,360","66,944","35,916","63,114","33,430","36,917","32,322","49,398","46,601","40,056","77,913","48,883","72,025","61,721"
Atlanta Falcons,"917,882","425,717","492,165","65,989","47,804","28,878","46,483","46,727","70,020",Bye,"44,229","69,010","59,849","72,234","59,318","68,826","55,603","43,320","73,559","66,033"
Baltimore Ravens,"1,064,731","554,991","509,740","69,365","51,121","75,082","69,494","59,866","72,818","69,439","62,906","68,798","69,353","53,530","69,382",Bye,"69,506","68,987","65,619","69,465"
Buffalo Bills,"1,005,954","504,736","501,218","71,447","56,135","72,874","72,654",Bye,"58,893","63,698","63,786","60,292","60,836","73,063","67,252","44,549","45,527","43,320","78,200","73,428"
Carolina Panthers,"1,085,651","579,080","506,571","64,108","47,804","73,120","66,944","72,049","74,480","72,642","72,597","66,069","72,665","72,234","70,020","44,549",Bye,"72,438","72,025","71,907"
Chicago Bears,"1,059,454","535,552","523,902","69,365","66,944",Bye,"46,483","66,944","63,408","66,944","66,944","66,944","65,612","64,214","66,944","59,869","66,944","78,884","76,067","66,944"
Cincinnati Bengals,"988,273","454,938","533,335","51,521","51,121","56,048","62,335","64,217","63,408","69,343",Bye,"57,161","63,865","72,918","52,135","44,920","77,745","68,987","63,751","68,798"
Cleveland Browns,"1,089,586","583,094","506,492","72,318","73,168","57,875","73,018","64,217","72,818",Bye,"66,944","73,218","69,353","72,918","72,818","60,292","72,818","59,824","68,798","59,189"
Dallas Cowboys,"1,056,213","505,501","550,712","61,521","63,430","66,621","61,535","63,941",Bye,"63,114","78,673","69,010","63,204","64,104","85,112","61,821","63,366","48,883","64,366","77,512"
Denver Broncos,"1,115,203","600,283","514,920","75,735","50,913","75,082","75,037","61,837","67,521","74,750","62,637","74,951","74,622","64,104","73,938","74,524","77,778",Bye,"75,582","56,192"
Detroit Lions,"1,093,748","601,815","491,933","59,523","73,168",Bye,"77,765","64,048","76,940","69,343","67,605","74,268","32,322","77,730","66,944","65,514","72,190","62,809","76,067","77,512"
Green Bay Packers,"1,040,215","478,433","561,782","59,523","59,771","73,120","65,510","59,866","64,165",Bye,"59,861","66,944","59,849","77,730","66,908","59,869","68,804","59,824","59,870","78,601"
Indianapolis Colts,"1,006,986","450,746","556,240","78,606","56,135","60,292",Bye,"56,972","56,022","74,212","63,786","57,127","70,020","56,393","69,382","73,858","55,603","56,302","66,084","56,192"
Jacksonville Jaguars,"987,779","483,542","504,237","63,785","65,994","57,875","54,524",Bye,"58,893","69,439","68,798","57,161","62,644","53,530","66,908","44,920","72,818","64,150","59,396","66,944"
Kansas City Chiefs,"1,120,677","617,488","503,189","78,844","77,666","76,573","75,037","78,413","35,916","74,212","58,789","78,234",Bye,"77,357","77,087","60,784","77,778","76,131","59,396","58,460"
