Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"838,557","300,267","538,290","65,538","51,557","70,534","28,109","62,836",Bye,"35,695","65,887","72,612","42,297","72,796","35,820","62,262","35,069","40,070","65,825","31,650"
Atlanta Falcons,"1,133,146","564,769","568,377","65,584","70,822","70,534","73,461","70,434","70,187","78,260","75,083",Bye,"70,810","78,793","70,521","65,556","70,616","70,845","64,900","66,740"
Baltimore Ravens,"1,123,288","558,594","564,694","73,068","69,859","65,575","69,827","90,287",Bye,"69,809","67,715","69,781","77,826","69,924","68,756","69,695","69,856","57,240","64,227","69,843"
Buffalo Bills,"1,112,531","574,399","538,132","72,389","53,610",Bye,"72,698","77,976","72,714","69,809","65,887","72,574","68,756","72,393","66,271","73,084","72,330","65,378","63,248","73,414"
Carolina Panthers,"1,132,109","586,259","545,850","73,656","78,136",Bye,"73,461","75,072","67,707","73,096","66,214","73,518","63,618","72,796","73,124","58,878","73,306","70,845","65,380","73,302"
Chicago Bears,"1,037,347","495,706","541,641","61,535","70,688","64,163","61,894",Bye,"61,945","65,550","62,054","78,786","68,932","61,908","64,026","62,051","67,572","62,122","61,924","62,197"
Cincinnati Bengals,"1,099,386","524,248","575,138","77,230","65,705","65,575","62,402",Bye,"73,263","65,806","68,932","65,721","87,786","65,780","65,677","69,695","68,756","65,378","64,606","67,074"
Cleveland Browns,"1,141,770","584,840","556,930","73,068","63,119","78,521","73,348","63,609","73,263","73,394",Bye,"69,781","73,703","72,547","65,677","73,028","72,330","72,489","73,169","70,724"
Dallas Cowboys,"1,086,004","510,892","575,112","64,105","63,119","90,367",Bye,"64,018","64,162","70,679","63,616","65,721","64,190","69,924","64,026","68,093","64,056","67,723","63,705","78,500"
Denver Broncos,"1,140,618","601,031","539,587","75,939","69,127","74,533","65,341","75,072","62,507","65,806","75,083","74,292",Bye,"64,900","75,936","65,395","75,027","77,702","68,809","75,149"
Detroit Lions,"1,043,481","499,162","544,319","61,535","61,465","62,472",Bye,"70,434","62,938","78,841","63,616","62,657","66,431","64,156","63,107","62,262","70,497","62,337","61,924","68,809"
Green Bay Packers,"1,112,569","564,400","548,169","73,656","70,688","57,280","70,623","70,420","62,938","70,679","89,295",Bye,"70,671","70,769","70,385","67,723","70,497","70,437","64,311","62,197"
Houston Texans,"1,110,049","565,192","544,857","70,255","61,465","77,433","70,741","70,718","68,932",Bye,"70,502","74,292","56,511","70,769","70,721","77,875","70,762","62,122","66,227","70,724"
Indianapolis Colts,"1,016,831","456,791","560,040","68,756","68,932","57,280","73,114","57,230",Bye,"56,615","78,312","57,307","56,511","61,908","63,107","57,278","70,762","57,240","57,330","75,149"
Jacksonville Jaguars,"1,051,556","555,464","496,092","72,389","69,127","68,932","73,114","52,101","66,413","56,615","70,502",Bye,"66,431","69,703","64,004","76,877","67,572","70,437","66,227","41,112"
Kansas City Chiefs,"1,150,728","623,010","527,718","75,939","78,136","77,433","69,827",Bye,"66,413","78,260","78,312","65,495","64,900","78,431","77,447","51,292","68,932","77,702","77,289","64,920"
Miami Dolphins,"1,143,869","580,808","563,061","69,987","65,705","72,225","73,157","68,756","72,714","72,945","78,216","72,612",Bye,"66,644","66,156","73,084","75,027","73,629","73,169","69,843"
Minnesota Vikings,"1,045,505","512,969","532,536","64,105","67,676","64,163",Bye,"70,718","64,900","64,108","64,012","57,307","70,671","64,156","64,004","62,051","64,110","62,337","64,311","76,876"
New England Patriots,"1,108,210","550,048","558,162","68,756","51,557",Bye,"72,698","68,756","68,756","68,756","64,737","66,107","68,756","78,431","68,756","73,028","68,756","73,629","77,975","68,756"
New Orleans Saints,"985,096","513,178","471,918","64,900","64,900","65,856","28,109","64,900","64,900","45,337",Bye,"59,662","64,900","64,900","70,521","58,878","64,056","65,075","64,900","73,302"
New York Giants,"1,160,690","629,874","530,816","67,532","78,767","78,521","70,623","64,018",Bye,"78,841","64,012","78,786","42,297","78,793","78,830","87,872","69,856","78,836","64,606","78,500"
New York Jets,"1,132,803","623,181","509,622","77,230","57,310",Bye,"73,157","77,976","78,189","68,756","78,216","72,574","77,826","72,547","35,820","77,875","63,581","77,894","77,975","65,877"
Oakland Raiders,"957,623","405,936","551,687","60,147","53,610","60,874","70,741","57,230","62,507","45,337","66,210","73,518",Bye,"46,905","75,936","51,292","70,616","44,299","77,289","41,112"
Philadelphia Eagles,"1,102,843","540,870","561,973","67,532","67,676","62,472","61,894",Bye,"67,707","73,394","67,715","64,975","64,190","67,720","78,830","67,723","90,089","67,723","66,129","67,074"
Pittsburgh Steelers,"1,082,241","507,385","574,856","60,147","69,859","72,225","62,402","63,609","64,162",Bye,"64,737","64,975","73,703","65,780","63,707","76,877","63,581","78,836","64,227","73,414"
San Diego Chargers,"1,027,704","485,462","542,242","70,255","57,310","74,533","54,006","52,101","70,187","73,096","66,210","59,662",Bye,"46,905","77,447","65,395","65,858","72,489","57,330","64,920"
San Francisco 49ers,"1,024,975","518,271","506,704","65,584","64,900","66,709","66,696","62,836","78,189",Bye,"62,054","64,423","63,618","65,234","66,156","65,793","35,069","65,710","63,248","68,756"
Seattle Seahawks,"1,040,347","533,436","506,911","64,900","65,089","66,709",Bye,"66,940","68,756","35,695","66,214","64,423","66,044","66,644","66,271","68,093","64,110","77,894","65,825","66,740"
St. Louis Rams,"1,060,941","527,384","533,557","65,538","70,822","65,856","66,696","66,940","66,040","72,945",Bye,"66,107","66,044","72,393","70,385","65,793","73,306","40,070","66,129","65,877"
Tampa Bay Buccaneers,"1,046,074","522,720","523,354","90,098","65,089","60,874","65,341","64,900","66,040","65,550",Bye,"65,495","70,810","65,234","73,124","65,556","65,858","65,075","65,380","31,650"
Tennessee Titans,"1,051,732","551,210","500,522","69,987","68,932","68,932","54,006","70,420","68,932","64,108","68,932",Bye,"68,932","69,703","70,721","57,278","68,932","44,299","68,809","68,809"
Washington Redskins,"1,240,229","702,670","537,559","90,098","78,767","90,367","73,348","90,287","61,945",Bye,"89,295","62,657","87,786","67,720","63,707","87,872","90,089","65,710","63,705","76,876"
,"17,270,426",,,"1,120,719","1,056,762","975,474","915,417","955,297","948,653","918,891","980,785","947,910","942,475","1,088,603","1,074,488","1,082,752","1,090,417","1,051,786","1,065,054","1,054,943"
