Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"804,401","288,499","515,902","60,691","23,127","58,784","65,758","63,601","24,193",Bye,"40,824","23,531","59,520","72,908","42,089","61,550","66,975","23,217","64,899","52,734"
Atlanta Falcons,"1,106,928","563,676","543,252","64,104","70,241","70,871","72,765","70,427","66,075","70,837",Bye,"70,064","78,813","68,432","70,891","70,388","70,079","57,103","65,572","70,266"
Baltimore Ravens,"1,006,929","556,634","450,295","63,157","69,473","52,028","69,459",Bye,"24,193","53,553","69,721","69,486","66,085","73,333","69,477","69,549","69,468","45,398","72,548","70,001"
Buffalo Bills,"1,152,118","584,122","567,996","73,262","58,613","73,458","73,305","72,615","77,740","73,149","78,689",Bye,"63,770","72,677","73,004","78,481","72,791","68,809","73,319","68,436"
Carolina Panthers,"1,078,988","582,566","496,422","72,134","65,621",Bye,"72,765","72,496","57,082","72,851","68,370","70,052","73,245","73,263","63,871","72,977","70,079","23,217","72,835","78,130"
Chicago Bears,"1,031,247","479,585","551,662","67,554","64,144",Bye,"60,257","61,099","68,390","65,671","61,428","61,500","61,492","61,820","75,540","61,550","70,458","61,804","50,127","78,413"
Cincinnati Bengals,"945,592","479,488","466,104","63,820","50,135","64,596","73,428","72,615",Bye,"53,553","52,131","23,531","50,437","64,923","52,069","58,797","69,468","64,666","66,061","65,362"
Cleveland Browns,"1,139,440","585,564","553,876","73,358","69,473","67,412","73,428","64,595","73,318","73,238","68,436",Bye,"78,560","72,908","73,658","64,680","73,108","75,358","72,548","65,362"
Dallas Cowboys,"1,071,700","511,224","560,476","64,104","78,907",Bye,"77,863","63,601","63,648","61,160","65,602","64,002","63,770","68,436","63,871","64,110","69,773","70,284","64,118","68,451"
Denver Broncos,"1,134,086","607,167","526,919","63,820","65,445","76,753","75,719","78,903","75,974","64,381","69,721","76,203",Bye,"75,217","75,540","57,201","76,403","75,358","57,149","70,299"
Detroit Lions,"1,045,766","490,442","555,324","60,691","70,244","60,865","75,719","67,365",Bye,"61,160","61,428","61,561","61,492","65,865","63,946","62,123","61,544","77,922","72,835","61,006"
Green Bay Packers,"1,067,556","562,819","504,737","70,505","70,244","58,784","60,257","70,365","70,407","66,201",Bye,"64,482","70,291","65,614","70,250","62,123","70,458","64,978","62,298","70,299"
Houston Texans,"1,061,690","563,748","497,942","73,010","68,390","70,487","70,041",Bye,"68,809","70,623","56,132","70,052","50,437","72,677","70,719","70,388","43,363","65,124","70,758","70,680"
