Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Indianapolis Colts,"993,951","454,138","539,813","73,358","56,999","55,770","70,020","65,647","57,082",Bye,"56,132","73,258","45,037","56,801","73,004","57,102","68,809","57,103","57,149","70,680"
Jacksonville Jaguars,"980,628","428,072","552,556","72,134","58,613","55,770","70,041","48,954","66,437",Bye,"55,918","69,486","45,037","68,809","77,614","60,543","43,363","68,436","49,207","70,266"
Kansas City Chiefs,"1,163,872","627,840","536,032","78,048","78,416","70,487","69,459","78,903","70,407","62,391","78,689",Bye,"78,560","64,923","78,889","57,671","76,403","77,922","64,291","78,413"
Miami Dolphins,"1,158,236","587,787","570,449","73,010","77,461","73,458",Bye,"78,863","66,437","73,650","73,014","73,258","68,809","73,333","73,578","64,110","68,436","73,780","73,319","73,720"
Minnesota Vikings,"1,017,297","513,437","503,860","70,505","64,144","60,865","64,111","70,427",Bye,"64,381","64,114","64,482","64,738","56,653","63,946","66,134","63,968","61,804","64,291","52,734"
New England Patriots,"1,127,515","547,488","580,027","73,262","67,624","68,436","83,632","68,436","68,436","73,650","68,436","76,203",Bye,"68,436","70,719","57,102","68,436","68,436","77,835","68,436"
New Orleans Saints,"1,072,640","548,894","523,746","52,250","68,390","68,809","70,020","72,496","68,390","70,837","68,370","65,524",Bye,"68,432","67,802","76,821","68,442","68,399","49,207","68,451"
New York Giants,"1,190,530","628,960","561,570","78,666","78,907","84,856",Bye,"78,863","68,436","78,883","64,114","78,132","78,813","67,867","65,648","78,481","78,217","68,399","64,118","78,130"
New York Jets,"1,169,808","622,255","547,553","85,420","77,461","68,436","77,863",Bye,"77,740","70,623","67,853","78,132","51,909","56,801","77,614","77,710","72,791","77,900","77,835","73,720"
Oakland Raiders,"975,793","440,063","535,730","68,809","50,135","76,753","54,078","61,099","73,318","62,391",Bye,"61,561","51,909","56,653","78,889","57,201","53,079","45,398","62,298","62,222"
Philadelphia Eagles,"1,124,063","544,349","579,714","67,772","67,624",Bye,"73,305","67,792","63,648","78,883","67,853","70,064","70,291","67,867","67,802","72,977","69,773","73,780","67,866","76,766"
Pittsburgh Steelers,"1,052,513","477,584","574,929","63,157","78,416","64,596","63,244","64,595","75,974",Bye,"62,665","66,507","59,520","67,877","73,658","58,797","53,079","77,900","52,527","70,001"
San Diego Chargers,"997,271","492,165","505,106","78,048","65,445","52,028","54,078","48,954",Bye,"73,238","73,014","61,500","64,738","75,217","52,069","57,671","61,544","64,978","52,527","62,222"
San Francisco 49ers,"1,050,337","540,644","509,693","67,554","65,990","67,412","64,111","67,365","66,437","67,809","40,824","67,812",Bye,"67,877","70,250","69,549","66,975","64,666","67,866","67,840"
Seattle Seahawks,"1,005,938","512,150","493,788","52,250","23,127","65,841",Bye,"70,365","66,437","65,671","52,131","66,507","80,728","65,865","69,477","64,680","63,968","66,152","64,899","67,840"
St. Louis Rams,"1,041,463","528,456","513,007","78,666","65,990","65,841","65,758",Bye,"66,075","66,201","62,665","67,812","66,085","61,820","42,089","66,134","73,108","66,152","66,061","61,006"
Tampa Bay Buccaneers,"1,087,333","524,352","562,981","67,772","65,621","70,871",Bye,"65,647","85,490","67,809","65,602","65,524","73,245","65,614","65,648","60,543","68,442","65,124","65,572","68,809"
Tennessee Titans,"1,087,279","550,472","536,807","68,809","56,999","68,809","63,244","68,436","68,809","72,851","55,918",Bye,"68,809","68,809","70,891","77,710","68,809","68,809","70,758","68,809"
Washington Redskins,"1,194,366","643,997","550,369","85,420","70,241","84,856","83,632","67,792","85,490","73,149",Bye,"64,002","80,728","73,263","73,578","76,821","78,217","70,284","50,127","76,766"
,"17,068,637",,,"1,112,560","1,030,830","938,966","973,680","951,158","932,436","954,397","884,897","912,114","913,434","1,080,495","1,089,045","1,055,837","1,074,913","1,029,330","1,031,410","1,103,135"
