Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"1,072,427","516,646","555,781","68,111","64,542","71,372","64,844","61,788","64,403","85,640",Bye,"65,267","64,753","65,403","64,483","64,791","68,193","70,007","64,159","64,671"
Atlanta Falcons,"1,075,623","547,167","528,456","62,815","61,821","68,175","69,312","69,143","69,828","69,994",Bye,"66,049","73,340","69,480","69,845","62,051","69,553","65,133","64,159","64,925"
Baltimore Ravens,"1,112,200","569,226","542,974","66,093","71,246","71,372","73,024","67,885","71,175","70,727",Bye,"63,457","71,130","71,055","63,337","71,382","70,513","70,287","68,164","71,353"
Buffalo Bills,"1,140,970","568,437","572,533","71,132","64,307","68,756","70,600","71,575",Bye,"70,727","76,688","70,745","70,615","71,338","64,546","85,831","71,018","73,196","71,302","68,594"
Carolina Panthers,"1,126,754","587,221","539,533","65,307","73,665","68,175","73,707","70,001","64,403",Bye,"74,005","69,143","73,340","70,805","72,032","73,191","66,090","73,421","73,860","65,609"
Chicago Bears,"1,041,602","497,267","544,335","67,837","62,095","62,099","60,811","70,904","62,174","67,806","62,171",Bye,"62,715","68,249","62,148","62,244","82,213","63,800","62,272","62,064"
Cincinnati Bengals,"1,083,308","526,320","556,988","66,093","72,801","68,110","66,113",Bye,"76,846","65,868","66,188","70,745","71,130","65,403","65,489","58,842","65,143","68,053","66,023","70,461"
Cleveland Browns,"1,110,086","584,006","526,080","73,089","72,801","51,075","73,024","68,756","73,198",Bye,"62,777","72,927","64,781","71,055","72,730","64,791","76,822","73,196","66,023","73,041"
Dallas Cowboys,"1,087,748","508,278","579,470","63,031","71,615","62,099","62,866","71,575","63,984","63,432",Bye,"67,688","78,964","63,706","63,315","64,167","62,759","63,777","73,860","90,910"
Denver Broncos,"1,139,812","612,893","526,919","71,132","76,784","76,463","57,274","76,879",Bye,"77,038","77,160","60,783","77,368","76,590","62,148","61,990","75,895","70,747","65,477","76,084"
Detroit Lions,"1,035,791","490,436","545,355","61,547","61,771","67,570","60,811","88,944",Bye,"60,442","62,171","60,783","64,753","60,675","63,257","62,996","62,759","66,505","59,938","70,869"
Green Bay Packers,"1,120,775","566,443","554,332","70,598","78,701","70,733","63,779","70,904","70,761",Bye,"77,160","78,988","70,945","70,805","63,257","64,167","70,828","66,008","62,272","70,869"
Houston Texans,"1,080,028","564,159","515,869","70,080","73,665","70,765","69,312","70,156","63,715","70,734","60,439","49,603",Bye,"70,780","72,730","69,143","70,237","70,747","57,262","70,660"
Indianapolis Colts,"1,009,598","458,437","551,161","57,361","69,143","70,765","57,274","57,202",Bye,"67,164","74,005","57,540","67,726","57,294","69,845","57,302","70,513","62,000","57,262","57,202"
Jacksonville Jaguars,"1,066,830","522,410","544,420","65,437","61,821","76,463",Bye,"76,917","63,715","67,164","65,133","70,009","69,143","66,732","64,546","57,302","66,090","58,793","66,905","70,660"
Kansas City Chiefs,"1,143,671","614,217","529,454","70,080","62,095","78,038","65,175","76,917","76,846","62,240",Bye,"78,988","77,368","57,294","76,210","74,874","75,895","74,976","59,938","76,737"
Miami Dolphins,"1,154,961","577,835","577,126","90,163","71,615","77,197","70,621","70,156","73,198","71,951","81,176",Bye,"70,615","68,934","57,704","71,109","71,018","70,287","68,756","70,461"
Minnesota Vikings,"1,065,131","506,046","559,085","62,815","61,771","78,038","63,779",Bye,"62,174","63,432","63,019","63,043","70,945","62,960","78,591","62,996","68,050","63,800","63,634","76,084"
New England Patriots,"1,109,366","550,048","559,318","77,900","68,756","68,756","66,113","68,756","63,984","71,951","68,756","57,540",Bye,"71,338","68,756","71,382","68,756","68,756","68,756","79,110"
New Orleans Saints,"1,093,544","560,036","533,508","57,361","65,178","70,002",Bye,"70,001","68,296","69,994","68,244","70,009","70,003","70,780","72,032","70,009","69,553","70,007","70,011","62,064"
New York Giants,"1,197,501","629,848","567,653","63,031","78,701","90,803","78,862","78,809","69,828","78,912","81,176",Bye,"78,964","60,675","78,591","62,244","68,594","77,899","71,302","79,110"
New York Jets,"1,175,701","616,855","558,846","77,900","71,246","77,197","70,600","78,809","77,189","65,868","76,688","76,663",Bye,"77,659","63,315","71,109","76,822","68,756","69,143","76,737"
Oakland Raiders,"1,033,850","472,876","560,974","61,547","76,784","51,075","70,621",Bye,"67,523","62,240","69,143","49,603","62,715","62,960","76,210","61,990","70,828","62,000","66,905","61,706"
Philadelphia Eagles,"1,127,787","545,357","582,430","70,598","67,726","67,570","78,862",Bye,"77,189","67,806","63,019","67,688","90,218","68,934","68,756","68,445","68,594","63,777","70,011","68,594"
Pittsburgh Steelers,"1,061,307","496,675","564,632","73,089","64,307","64,313","64,844","64,478",Bye,"77,038","66,188","63,457","64,781","77,659","57,704","58,842","68,756","58,793","65,705","71,353"
San Diego Chargers,"1,075,885","524,019","551,866","67,837","68,756","70,733","65,175","76,879","67,523",Bye,"60,439","63,043","67,726","66,732","63,337","74,874","69,143","66,505","65,477","61,706"
San Francisco 49ers,"1,097,841","544,226","553,615","68,111","65,295","64,313","67,651","67,885",Bye,"78,912","68,244","66,049","68,331","68,039","64,483","73,191","68,050","68,053","68,193","73,041"
Seattle Seahawks,"1,087,363","545,551","541,812","68,044","64,542","68,110","67,651","64,478","68,296","68,164",Bye,"72,927","68,331","68,249","65,423","68,445","68,193","73,421","68,164","64,925"
St. Louis Rams,"1,049,682","514,354","535,328","65,307","65,295","65,267","62,866","61,788","71,175","68,164","62,777",Bye,"70,003","68,039","65,423","62,051","65,143","66,008","65,705","64,671"
Tampa Bay Buccaneers,"1,059,844","522,530","537,314","68,044","65,178","65,267","73,707","57,202","65,347","60,442","65,133","65,267",Bye,"69,480","65,596","70,009","70,237","65,133","68,193","65,609"
Tennessee Titans,"1,098,921","553,144","545,777","65,437","69,143","70,002",Bye,"69,143","65,347","70,734","69,143","69,143","69,143","76,590","65,489","69,143","69,143","74,976","69,143","57,202"
Washington Redskins,"1,259,463","704,722","554,741","90,163","67,726","90,803",Bye,"88,944","70,761","85,640","68,756","76,663","90,218","63,706","65,596","85,831","82,213","77,899","63,634","90,910"
,"17,597,685",,,"1,098,545","1,095,446","1,120,738","944,639","993,437","894,439","980,112","894,899","931,905","1,000,032","1,089,699","1,073,462","1,078,367","1,123,807","1,093,358","1,060,804","1,123,996"
