Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arizona Cardinals,"1,005,649","465,340","540,309","64,113","73,618","72,100","64,169","49,015","55,893",Bye,"55,830","77,857","49,600","72,015","77,809","46,550","75,851","64,337","47,074","59,818"
Atlanta Falcons,"957,594","460,922","496,672","69,555","63,663","63,253","50,712","57,289","51,973","58,141","52,594","68,466",Bye,"65,158","55,507","62,568","67,465","66,196","47,074","57,980"
Baltimore Ravens,"995,971","547,127","448,844","62,100","68,965","68,803","50,712","65,486",Bye,"68,771","68,673","72,898","57,391","43,279","68,428","67,854","46,715","67,597","68,036","50,263"
Buffalo Bills,"1,103,911","561,269","542,642","56,238","68,839","70,872","74,073","71,038","71,113","66,301","68,673","78,721","72,810","79,285","72,111",Bye,"72,527","64,337","55,014","61,959"
Carolina Panthers,"983,337","489,515","493,822","58,166","64,261","61,269","76,831",Bye,"68,151","64,322","52,594","62,569","65,965","72,818","55,507","62,285","59,869","62,373","39,428","56,929"
Chicago Bears,"1,044,226","526,989","517,237","58,381","66,944","50,458","66,944","64,107","66,944","65,283","77,621","59,867","66,944","56,055","77,905","66,944",Bye,"66,944","65,941","66,944"
Cincinnati Bengals,"916,042","404,679","511,363","65,272","47,660","61,269","45,481","73,048","59,669","55,996","49,138","66,303","46,017","43,279","50,907","53,463","59,972",Bye,"68,036","70,532"
Cleveland Browns,"1,063,703","580,934","482,769","73,138","65,904","68,803","72,368","73,048","62,047","65,866","48,817","72,898","58,213","72,818","72,008","53,147","59,972","72,038","72,618",Bye
Dallas Cowboys,"1,036,670","513,295","523,375","79,237","63,663",Bye,"64,169","66,669","78,204","64,377","56,860","64,111","64,634","72,015","64,328","58,444","64,086","64,271","47,835","63,767"
Denver Broncos,"1,109,037","577,309","531,728","75,623","78,683","65,297","74,181","55,704","73,352","60,011","75,021","61,204","66,314","70,012",Bye,"73,855","71,357","65,987","73,158","69,278"
Detroit Lions,"1,094,310","579,314","514,996","66,238","76,202","78,384",Bye,"61,481","76,516","64,322","63,135","73,224","49,600","59,869","77,905","77,693","65,536","66,944","73,158","64,103"
Green Bay Packers,"1,026,536","478,900","547,636","59,872","76,202","59,868",Bye,"59,868","73,352","68,274","59,869","59,867","64,634","59,869","68,304","66,944","59,869","64,203","65,723","59,818"
Indianapolis Colts,"1,000,238","453,269","546,969","56,238","59,640","56,942",Bye,"56,810","78,112","55,996","56,860","56,689","78,081","65,521","56,689","74,096","56,975","57,012","72,618","61,959"
Jacksonville Jaguars,"1,054,581","530,085","524,496","68,678","64,261","61,502","57,308","78,216","62,047",Bye,"49,138","68,466","57,391","69,772","68,428","68,806","71,357","72,038","66,641","70,532"
Kansas City Chiefs,"1,125,231","629,545","495,686","58,381","78,683","78,384","58,099","78,636",Bye,"68,771","78,473","56,689","64,927","78,714","48,632","73,855","78,932","78,697","66,332","79,026"
Miami Dolphins,"1,139,646","592,161","547,485","75,623","73,618",Bye,"74,073","56,810","60,006","73,975","61,556","74,109","72,810","74,295","64,328","74,096","78,246","73,765","74,230","78,106"
Minnesota Vikings,"1,083,723","513,051","570,672","69,555","64,080","59,868","64,106","64,107","76,516","64,109","75,021","64,111","66,944",Bye,"64,232","65,741","78,932","64,203","78,095","64,103"
New England Patriots,"1,015,541","461,624","553,917","78,227","59,640","59,169","72,368","78,636","60,006","60,011","55,830",Bye,"59,077","74,295","72,111","58,444","56,975","65,475","55,014","50,263"
New Orleans Saints,"945,488","410,147","535,341","58,166","67,685",Bye,"66,944","57,289","51,875","77,982","48,817","47,129","52,198","69,772","65,864","62,568","46,838","67,597","47,835","56,929"
New York Giants,"1,135,506","614,815","520,691","65,026","73,170","59,169","73,274","49,015","78,204","77,982","66,481",Bye,"78,081","78,641","77,809","78,200","72,527","66,065","78,095","63,767"
New York Jets,"1,149,071","626,258","522,813","78,227","68,839","78,161","74,181","78,216","78,112","47,326",Bye,"77,857","59,077","79,285","56,689","78,200","78,246","64,271","74,230","78,154"
Oakland Raiders,"938,846","398,140","540,706","59,872","64,080","50,458","66,400","55,704","71,113","47,326","61,556",Bye,"43,353","70,012","48,632","44,716","66,357","46,395","63,846","79,026"
Philadelphia Eagles,"1,052,846","519,835","533,011","64,113","64,285","70,872","73,274","66,669","66,944","73,975","66,481","62,569","66,591","65,521","74,741","46,550","64,086","65,475",Bye,"60,700"
Pittsburgh Steelers,"972,207","416,618","555,589","73,138","68,965","57,881","57,308","71,038","59,669","58,141",Bye,"68,657","58,213","66,619","50,907","68,806","46,715","78,697","39,428","48,025"
San Diego Chargers,"981,559","476,999","504,560",Bye,"47,660","56,942","58,099","61,481","59,432","68,274","78,473","61,204","43,353","56,055","64,232","53,147","66,318","73,765","63,846","69,278"
San Francisco 49ers,"1,041,004","544,231","496,773","68,678","67,685","72,100","67,447","65,872","68,151","64,109",Bye,"68,657","52,198","68,193","68,304","53,463","67,465","62,373","68,329","57,980"
Seattle Seahawks,"1,042,217","530,520","511,697","66,238","66,944","57,881","66,400",Bye,"59,432","66,301","59,869","66,303","66,314","78,714","66,314","44,716","66,318","65,987","66,332","78,154"
St. Louis Rams,"996,035","520,926","475,109","62,100",Bye,"63,253","45,481","65,872","51,973","65,866","66,415","73,224","65,965","68,193","65,864","62,285","46,838","66,065","65,941","60,700"
Tampa Bay Buccaneers,"1,000,867","522,691","478,176","65,026","64,285","65,297","64,106","59,868",Bye,"65,283","63,135","47,129","64,927","65,158","66,314","65,741","65,536","46,395","65,723","66,944"
Tennessee Titans,"1,017,727","528,890","488,837","65,272","65,904","61,502","67,447","65,486","51,875",Bye,"66,415","74,109","46,017","66,619","72,008","67,854","66,357","66,196","66,641","48,025"
Washington Redskins,"1,160,975","619,749","541,226","79,237","73,170","78,161","76,831",Bye,"55,893","64,377","77,621","78,721","66,591","78,641","74,741","77,693","75,851","57,012","68,329","78,106"
,"16,095,147",,,"999,864","1,003,599","903,959","911,393","903,239","913,287","900,734","880,483","931,804","912,115","1,020,246","983,779","954,362","977,044","981,355","952,300","965,584"
